,listing,price
0,Vintage Coach Purse,140.0
1,Coach Hallie Shoulder Bag In Signature Canvas,119.0
2,Lagoo leather mint green Hobo Bag with gold hardware,46.0
3,Jessica Moore Quilted Backpack Cloud Creme NWT,40.0
4,"Harley Davidson black leather handbag purse NWT embossed‎ logo small
          
      NWT",95.0
5,JUTE BERMUDA SUMMER HANDBAG WITH EMBROIDERY,40.0
6,Michael Kors Light Blue Gilly Large Drawstring Travel Tote,100.0
7,Nicole Lee Elegant Black and Silver Women's Handbag faux stone front,36.0
8,Lucky Brand Crossbody Bag in Cream Colored Leather with Hobo Like Silhouette,39.0
9,"Tory Sport Reusable Nylon Sport Bag, Great for Pickleball Paddles/Balls",13.0
10,GUCCI Vintage Micro GG Canvas Shoulder Bag PVC Leather Beige,295.0
11,Hello Kitty X Arnold Palmer Crossbody Mini Backpack - Very RARE Limited Edition,625.0
12,Christian Louboutin Louis Tote Bag Navy Denim Rubber Leather,1099.0
13,Genuine Leather mini crossbody,25.0
14,"Steve Madden Womens Bpauli Handbag
          
      NWT",100.0
15,"Festive‎ AF Christmas NEW tan tote bag
          
      NWT",20.0
16,💰Vera Bradley ALPINE CHECK Zip ID Case RETIRED Blue & Black Checkered💰,8.0
17,🤎 Patricia Nash Leather Tassel Crossbody Bag – Brown,68.0
18,GUESS Women's Floral Wallet,65.0
19,"Leather Flower Purse Charm Genuine Leather Red Poinsettia Flower Bag Charm NEW
          
      NWT",32.0
20,Prada Canapa Blue Denim Tote with Structured Design,650.0
21,"LILLY PULITZER Zip Top Wallet
""Party Like A Lobster"" Wristlet
Wallet",16.0
22,"korilakkuma flat pouch with zipper
          
      NWT",22.0
23,"Disney Minnie Mouse Red Stripe Wristlet Wallet NWT
          
      NWT",18.0
24,Timeless Multicolor Tweed Cottage Bucket Bag,30.0
25,Kate Spade Elegant Black Tote with Bow Accent,60.0
26,💯Authentic Bally Handbag🍀,299.0
27,"Auth Louis Vuitton Monogram
Deauville Handbag W/DBag",1350.0
28,SHIRALEAH small bag red flower floral snap closure inside zipper pocket,29.0
29,Classic Box Bag with Adjustable Strap,25.0
