,listing,price,brand
0,Brighton Croc Embossed Leather Shoulder Bucket Bag Black And Brown Vintage,,65.0
1,Coach Sig Print Strawberry Fruit Wallet W Added Wrist Strap NO CALL-OUTS,,119.0
2,Jesalin “Sette” Oversized Leather Clutch,,325.0
3,Coach Very‎ Rare EUC Vintage Signature Jacquard Leather Trim Waist Bag F68250,,125.0
4,Victoria's Secret tote bag,,22.0
5,lululemon athletica Black Crossbody Bag with Gold Details,,60.0
6,"Michael Kors Gray and Brown Women's Bag
          
      NWT",,300.0
7,Louis Vuitton Odeon PM crossbody,,1250.0
8,"Pink Smirnoff Fannypack
          
      NWT",,23.0
9,Chanel Boy Medium in Quilted Lambskin,,499.0
10,"G by guess paper bag retail bag gift bag
          
      NWT",,13.0
11,"NWT Kate Spade Dumpling Small Satchel Mountain Grey Pebbled Leather Bag
          
      NWT",,170.0
12,"Custom Pearled Initial ""K"" Faux Vegan Quilted Leather Wallet/Wristlet",,24.0
13,"NWT Miztique Navy Blue Convertible Backpack Crossbody Bag Faux Leather BGT05501
          
      NWT",,30.0
14,🎀 Michael Kors Jet Set Travel Smartphone Wallet in Powder Blush Multi,,50.0
15,"Michael Kors Jet Set Medium Two-Tone Logo Tote
&
Medium Two-Tone Logo Wallet
NWT",,226.0
16,"MICHAEL KORS 
Jet Set Large Ombré Logo Wristlet Lt Sky
          
      NWT",,87.0
17,Burberry Pink Cosmetic Bag with Plaid Accent,,149.0
18,"LOVE MOSCHINO Red with Gold Heart Zippered Vegan Leather Handbag
          
      NWT",,98.0
19,Coach Peach Leather Purse,,90.0
20,Vera Bradley Leather And‎ Quilted Print Shoulder Bag,,14.0
21,Spartina 449 Ashley River pattern Wallet with snap closure,,20.0
22,"Michael Kors Reed Large Snap Bifold Wallet Black
          
      NWT",,72.0
23,Vintage Gucci Zip Around Leather Wallet - Pink Calfskin - 1990s Pebbled Leather,,120.0
24,Samsonite Black Briefcase,,40.0
25,Fun knit purse with bamboo handles‎,,23.0
26,"Norma Kamali Fishtail Slip Dress - Large
          
      NWT",,325.0
27,Ramla Studded Silver Women's Clutch,,67.0
28,A New Day Crossbody And Wallet Set,,25.0
29,CHANEL Top Handle Quilted Lambskin Leather Flap Phone Crossbody on Chain,,4899.0
30,"Travelon Black Multi-Pocket Waist Pack. Fanny pack
          
      NWT",,20.0
31,Lulus Constantinople Gold Beaded Clutch Fairycore Elegant Evening OS,,35.0
32,Vintage Chenille Carpet Yellow Floral Textured Tri-Fold Wallet,,35.0
33,MYRA BAGS LEAF PRINT HAIRON BAG,,38.0
34,Kate Spade Coralie Sheffield Street Prickly Pear Leather Cross Body Bag,,74.0
35,BRIGHTON Renault Aristocrat Wristlet Wallet Blue / Grey Embossed Snake Print,,25.0
36,Michael Kors black woven bag in great condition,,175.0
37,Portland leather two way brown tote bag,,149.0
38,Black NWOT Soultri Scents Tote Bag,,15.0
39,Michael Kors Crossbody Bag Size OS Color Gray Silver,,100.0
40,Vintage Brighton Bucket Handbag,,45.0
41,"🔥Made in Italy🔥Leather purse
          
      NWT",,55.0
42,"WOMENS VINTAGE LEATHER NAVY BLUE HANDBAG, FOLD OVER FLAP, GREAT CONDITION",,12.0
43,Chanel Patent Leather Round CC Handle Bag Black,,7380.0
44,Black/White Kut From The Kloth Wallet,,22.0
45,"St.john X Edie Parker Burn
Shoulder Bag in Rainbow Tweed",,200.0
46,"Bottega Veneta Arco Women's Raffia Tote Bag Leather Pouch in Black (MSRP $3,000)
          
      NWT",,1700.0
47,Tory Burch Canvas Dust Bag,,15.0
48,Louis Vuitton Brea MM,,405.0
49,"HOBO Heidi Small Crossbody Bag Purse Leather Straps Mosaic‎ Sn Classic N…
          
      NWT",,101.0
50,CHANEL Lambskin Chevron Trendy CC Flap Bag,,5325.0
51,"HOBO  Leather Small Crossbody Bag,wallet
          
      NWT",,48.0
52,Old Navy Charcoal Textured Shoulder Bag,,9.0
53,"Vera Bradley Retired MEDALLION Small
Purse Handbag Zip Closure Maroon
Gold",,17.0
54,SOLDxxxxxx,,1200.0
55,"NEW‎ Loungefly Disney The Nightmare Before Christmas Zero Floral Crossbody Bag
          
      NWT",,115.0
56,A94- 💯 % authentic Gucci Marmont belt bag,,699.0
57,"Tory Burch Pouch-Authentic-NWT
          
      NWT",,125.0
58,Black Handbag with Gold Accents,,35.0
59,The Sak Multicolor Rainbow Striped Crochet Woven Hobo Bag,,36.0
60,Nike logo sporty canvas tote large size stained,,44.0
61,Coach Signature C Zip Around Accordion Wallet Gray Pewter Silver Horse& Carriage,,26.0
62,"Coach 🩷 leather wristlet New
          
      NWT",,75.0
63,"Simply Basic Tote Bag Purse‎ Shoulder Bag Black Multiple Zippered Pockets/Spaces
          
      NWT",,21.0
64,Vintage Sandol Living Fashion Clemson Go Tigers Black Orange Purple Handbag,,24.0
65,Louis Vuitton Stephen Sprouse Limited Edition Speedy,,2200.0
66,"NWT Juicy Couture Freshly Picked Cafe Logo Dots Beige Pink Strawberry Wallet $35
          
      NWT",,18.0
67,Lily Waters Purse‎ Rain On Me Vinyl Boho Print Hobo Style Colorful Water Repel,,16.0
68,"DIMONI Red Genuine Leather Medium Shoulder Bag--NWT
          
      NWT",,120.0
69,bag dark grey Laeda 4 Bloomingdales shoulder cross body leather faux lizard 9x5,,10.0
70,Etienne Aigner DELTA style 2421X Metallic Brown Zip Around Wallet,,20.0
71,"NWT Botkier Valentina Woman's Leather Cross Body Military Green Snake
          
      NWT",,69.0
72,🐈OKC🐈 NWOT Route 66 Teddy Bear Denim Jean Purse,,36.0
73,Lug Romper Shoulder Carry-on Travel Tote Blue White Stripes Hearts Travel,,38.0
74,Coach Black Textured Leather Wallet trifold card coin holder designer snap,,75.0
75,Braccialini Shoulder Bag Italian Leather Parrot Yellow Green Blue Made in Italy,,500.0
76,Squishable Plague Doctor Mini Backpack Unisex Black Faux Leather Goth Spooky Bag,,43.0
77,Fjallraven Backpack,,95.0
78,SkyBlue Shoulder Bag with Gold Finish & Decorative Front Pocket by Rossetti.,,36.0
79,"New Kate Spade purse Love Shack Heart handbag crossbody new
          
      NWT",,268.0
80,"Michael Kors Jet Set Medium Floral Print Bi-Fold Wallet
          
      NWT",,85.0
81,"Coach signature with orange print 
Accordion wallet New
          
      NWT",,149.0
82,"Disney’s Stitch Blue Crossbody Purse | NWT | Limited Edition ✨
          
      NWT",,69.0
83,Kate Spade Kingston Drive Blossom Vivian Leather Tote,,76.0
84,Authentic Wayuu handbag handmade in Colombia.,,25.0
85,Vintage Dark Brown Genuine Leather Small Shoulder Bag size 8”x8”x2”,,45.0
86,Wacoal Tan and Black Jute Clutch & Wristlet Set - NWOT,,17.0
87,PRADA make up bag / perfume bag,,42.0
88,"Michael Kors Jet Set Travel Medium Color-Block Wallet
DRAGONFRUIT MULTI
NWT
          
      NWT",,58.0
89,"Nightmare Before Christmas ""Halloween Town"" Glow in Dark Backpack and cardholder
          
      NWT",,100.0
90,Vintage Rolfs Cowhide Leather Black Shoulder Purse,,27.0
91,NWOT - Michael Kors Jet Set Travel Large Color-Block Wristlet,,120.0
92,Buckle-Down Women’s Wristlet‎ Wallet,,18.0
93,Calvin Klein Tote,,18.0
94,Patricia Nash Women Brown Leather Messenger Bag with Mandala Design,,125.0
95,Kate Spade Southport Avenue Mini Maria Leather Crossbody Handbag & card wallet,,55.0
96,Brighton Black Leather Shoulder Satchel Handbag,,24.0
97,NFL Dallas Cowboys Blue and White Star Wallet,,15.0
98,Baby Jogger Black Backpack Travel Multi-pocket‎ Organizer Stroller,,75.0
99,Vintage Chenille Christmas Shoulder Bag Dalmatian Leopard Trim Novelty Purse,,34.0
100,"LoveShackFancy Crochet Wine Tote NWT
          
      NWT",,99.0
101,4/$20 🦋 Vera Bradley Cosmetic Bag/Pouch,,10.0
102,Mini Puffer Bag Quilted Crossbody Nylon Shoulder Handbag Adjustable Strap Chic,,68.0
103,"Apt 9 black/purple shoulder bag NWT
          
      NWT",,20.0
104,Not Available,,75.0
105,Large Makeup Bag,,10.0
106,Vera Bradley Gabby Tote in the retired Carnaby pattern,,10.0
107,Bridawn Felt Wallet Charcoal Grey,,8.0
108,Jeon Los Angeles Black and Off-White Women's Shoulder *Buffet* Handbag,,60.0
109,"Large Denim Shopper - Distressed Black
          
      NWT",,470.0
110,Kate Spade Nylon Baby Bag,,115.0
111,July Everyday Crescent Canvas Crossbody Light Gray Shoulder Bag,,17.0
112,Salvatore ferragamo  Elegant Burgundy Tote Bag,,560.0
