,listing,brand,price
0,PRADA - Black Nylon Leather Tote Bag,,843.0
1,Vintage Coach Black Hippie Flap Saddle Crossbody Bag 9134,,150.0
2,Lululemon Everywhere Belt Bag Crossbody - Color Silver Drop NWOT,,49.0
3,Free People Canvas Vegan Leather Tote Bag,,30.0
4,KATE SPADE Layton Wellesley Zip Wallet Wristlet Moussfrost‎ Beige Old Money,,26.0
5,Gucci Horsebit 1955 Small Shoulder Bag,,499.0
6,"Laurel Burch‎ Cats Butterfly Canvas Tote Bag Weekender Large Charm Artsy 15x5x9""",,40.0
7,Vintage IMAN Leather Crossbody Bag Burgundy and Gold,,50.0
8,Guess Golden Clutch,,13.0
9,Hobo Fern Convertible Backpack Black/Gold Stars Leather,,120.0
10,Must de Cartier Wallet (coin purse),,109.0
11,EDDIE BAUER Large Diaper Shoulder Bag (Adjustable Strap) - Brown/Beige,,18.0
12,Dolce & Gabbana Artistic Splatter Wallet,,399.0
13,Nena & Co Tan Leather Embroidered Shoulder Purse Strap for Handbag,,100.0
14,"Expressions NYC Handbag Teal Vegan Small Makeup Bag Crossbody Strap
          
      NWT",,12.0
15,"PINK Victoria's Secret Cream and Green Travel Bag
          
      NWT",,30.0
16,"Fossil Emma Tote Bag - Cream, Gray, Brown and Black",,40.0
17,Authentic Prada Re-Edition 2005 Nylon Shoulder Bag – Cammeo Beige,,1200.0
18,Balenciaga Crossbody Vintage Bag,,165.0
19,"NWT Trader Joe's Canvas New Halloween  Mini Tote Bag orange and black
          
      NWT",,9.0
20,"Trendy handbag
          
      Boutique",,20.0
21,DKNY Paige Bicolor Leather large Satchel Carryall Purse Donna Karan,,35.0
22,"Michael Kors Jane Large Soft Pink Pebbled Leather Tote Bag
          
      NWT",,169.0
23,Vera Bradley Mini Crossbody Bag,,18.0
24,"Michael Michael Kors Powder Blush Leather Crossbody Jet Set Bag Lg, NWT
          
      NWT",,259.0
25,Kate Spade New York Striped Canvas Tote Pink Orange Cream Shopping Bag,,48.0
26,"AY GUEY Sugar Skull Dia de los Muertos Wristlet Wallet Clutch Floral NWT
          
      NWT",,39.0
27,"Steve Madden Neon Yellow Mini Bag
          
      NWT",,41.0
