,listing,size,brand,price
0,Michael Kors Studded Snake Embossed Zip Around Wristlet Blue Silver Accents,,,80.0
1,"Gold Leather Strips Metal Chains Wristlet Purse Fredd
Basha Bag.",,,35.0
2,Elizabeth Arden New York Striped Makeup Cosmetic Travel Bag Zip Closure Floral,,,12.0
3,Coach Edie Beige/Brown Signature Canvas/Leather Satchel Shoulder Bag,,,130.0
4,Black Ostrich Leather Wallet,,,140.0
5,"Gold Coast Black Sling Mini Backpack
          
      NWT",,,49.0
6,COACH Y2K Pastel Multi-Color Stripe Shoulder Bag Crossbody Handbag Tote Preppy‎,,,31.0
7,"Michael Kors Small TZ Coinpouch w/ID Black
          
      NWT",,,65.0
8,YSL Shopping Large Leather Tote Bag,,,499.0
9,Baby GAP‎ vintage VTG tote/diaper bag,,,10.0
10,NWOT‎ Vera Bradley Leather Carson Mini Shoulder Bag,,,50.0
11,Vintage Brown Satin Clutch Handbag Evening Purse 30s 40s with Box,,,48.0
12,Anthropology Blush/Plum Cross Body Bag/Purse,,,40.0
13,11.5” x 15.5” Christian Louboutin Soft Dust Bag (Item# 0158),,,29.0
14,"Michael Kors Bag
          
      NWT",,,178.0
15,Christian Louboutin Panettone Crossbody Shoulder Bag – Blue,,,1274.0
16,"Penelope Ann Fabric Navy Blue handbag, with braided handles, EUC",,,30.0
17,"Lululemon Everywhere Belt Bag Plush Fleece Crossbody Waist Bag in Bone White NWT
          
      NWT",,,129.0
18,MCM Galaxy Tote Bag,,,250.0
19,NWOT Skechers Nylon Backpack,,,15.0
20,LC Lauren Conrad Kylie Green Mini Crossbody Bag Gold Chain Top Handle Purse,,,13.0
21,Coach black contrast stitch swingpack crossbody early 2000s excellent condition,,,60.0
22,Lulu Townsend Gold Shimmer Pleated Bow Clasp Evening Crossbody Clutch Bag,,,20.0
23,❤️Very Large Beautiful Tory Burch Red Logo Dust Bag,,,45.0
24,Michael Kors Genuine Snake Skin Wallet 🐍✨,,,75.0
25,"Vintage Gold Mesh‎ Evening Purse – 5x4"" Unbranded, No Lining, Vtg Wear",,,16.0
26,Vera Bradley - TriFold‎ clutch - vintage clutch wallet crossbody,,,22.0
27,Threeppy from Daiso Ribbed Tote Bag (Grey),,,15.0
28,Kiehl’s Limited Edition Cosmetic Bags Travel Makeup Pouch Set Holiday Christmas,,,20.0
29,Gucci Black Leather Shoulder Bag,,,995.0
30,Rosetti Black Shoulder‎ Purse/tote/computer Bag,,,20.0
31,Laggo Women's 100% Pebble Leather Red Shoulder Bag Purse Tassle,,,75.0
32,Banana Republic Brown Leather Bag,,,48.0
33,NWOT Nordstrom Small Dianne Snake Embossed Crossbody Bag,,,35.0
34,"NWT Coach Jamie Camera Bag With Trompe L'oeil Print CH170
          
      NWT",,,140.0
35,Cartier Vintage Pasha Black Leather Long Wallet,,,375.0
36,"Victoria's Secret Sleek Black Tote Bag
          
      NWT",,,40.0
37,Dooney & Bourke Red and Tan Nylon Satchel,,,52.0
38,"Sash Bag Crossbody Travel Sling Purse Teal Blue Faux Leather Egypt Collection
          
      NWT",,,69.0
39,Retro Western Cowgirl Cowboy Pistol Southwestern Black Crossbody Bag Purse,,,35.0
40,Gucci GG Tote Bag Black,,,2849.0
41,Iowa State Fanny Pack Waist Bag Cyclones College Gear Football IS Red Buckle,,,10.0
42,Vera Bradley Laptop Case Women One Size Chelsea Blue Quilted,,,32.0
43,"Michael Kors Astor Coin Purse Keychain with Studs in Turquoise NWT
          
      NWT",,,49.0
44,"Michael Kors Gold Metallic Crossbody Bag
          
      NWT",,,119.0
45,Elegant White Quilted Shoulder Bag with Gold Chain,,,380.0
46,Coach Y2K 65th Anniversary Legacy Stripe GARCIA Bronze Clutch Wristlet Mini Bag,,,149.0
47,Michael Kors Jet Set Chain‎ Medium Leather Shoulder Tote Bag- Brown MSRP $298,,,70.0
48,Vintage Robinson's Black & Incandescent Beaded Clamshell Shoulder Bag,,,44.0
49,Boho Peruvian Leather Cylinder Pouch with Llama/Geometric Tooled Art,,,18.0
50,"Pink & Brown Juicy Couture Heart Shaped Coin Purse
          
      NWT",,,30.0
51,"NWOT Bioworld Sanrio Hello Kitty Red Fanny Pack Belt Bag.""",,,34.0
52,Multicolor Patterned Twillys,,,20.0
53,Abas animal Skin Clutch Bag gold Tone Clasp,,,44.0
